Telescope,Freq_MHz,Freq_MHz_real,Bandwidth_MHz,Time_post_burst_s,Response_swift_s,Timescale_s,Sensitivity_Jy,Flag,Reference,symbol
MWA-150524A,132.5,132.5,2.56,23.0,11.0,4.0,3.0,1.0,Kaplan15,o
MWA-150524A,132.5,132.5,2.56,23.0,11.0,120.0,1.1,1.0,Kaplan15,o
MWA-150524A,132.5,132.5,2.56,23.0,11.0,1800.0,0.9,1.0,Kaplan15,o
MWA-180805A,185.0,185.0,30.72,83.0,19.0,0.50,0.3,1.0,ThisWork,o
MWA-180805A,185.0,185.0,30.72,83.0,19.0,28.0,0.1,1.0,ThisWork,o
MWA-180805A,185.0,185.0,30.72,83.0,19.0,120.0,0.05,1.0,ThisWork,o
MWA-180805A,185.0,185.0,30.72,83.0,19.0,1800.0,0.01,1.0,ThisWork,o
LOFAR_RT,150.0,150.0,48.0,240.0,240.0,1.0,0.0061,1.0,vanHaarlem13,s
LOFAR_RT,150.0,150.0,48.0,240.0,240.0,30.0,0.001116,1.0,vanHaarlem13,s
LOFAR_RT,150.0,150.0,48.0,240.0,240.0,120.0,5.578E-4,1.0,vanHaarlem13,s
LOFAR_RT,150.0,150.0,48.0,240.0,240.0,1800.0,1.4402E-4,1.0,vanHaarlem13,s
LWA1_PASI,40.0,37.9,0.075,1.0,0.0,5.0,68.0,0.0,Obenberger14,^
LWA1_PASI,60.0,52.0,0.075,1.0,0.0,5.0,65.0,0.0,Obenberger14,^
LWA1_PASI,70.0,74.0,0.075,1.0,0.0,5.0,70.0,0.0,Obenberger14,^
OVRO-LWA-170112A,60.0,56.15,57.56,1.0,0.0,13.0,1.5,0.0,Anderson18lwa,v
OVRO-LWA-170112A,40.0,36.96,19.2,1.0,0.0,13.0,3.6,0.0,Anderson18lwa,v
OVRO-LWA-170112A,60.0,56.15,19.2,1.0,0.0,13.0,2.2,0.0,Anderson18lwa,v
OVRO-LWA-170112A,70.0,73.34,19.2,1.0,0.0,13.0,1.9,0.0,Anderson18lwa,v
AARTFAAC,60.0,60.0,3.12,1.0,0.0,1.0,21.0,0.0,Kuiack18,d
MWA-thermal-128,185.0,185.0,30.72,1.0,0.0,7200.,0.0020,2.0,Wayth15,p
MWA-median-128T,185.0,185.0,30.72,1.0,0.0,nan,0.0080,2.0,Rowlinson16,p
MWA-128T,185.0,185.0,30.72,1.0,0.0,28.0,0.0314,2.0,Rowlinson16,p
LOFAR_RT,150.0,150.0,48.0,1.0,0.0,7200.0,7.201E-5,2.0,vanHaarlem13,p
